aachen;akwizgran,
abknabbern;obgryzaæ
abknallen;ukatrupiæ
abkochen;przegotowywaæ
abkommen;uk³ad,konwencja,zbaczaæ z,odbiegaæ
abkömmling;potomek,pochodna
abkoppeln;odczepiaæ,od³¹czyæ
abkratzen;zdrapaæ,zeskrobaæ
abkühlen;ostudzaæ,wystudzaæ,och³adzaæ
abkürzen;skracaæ
abkürzung;skrót,droga na skróty,skrótowiec,skrót
abküssen;obca³owaæ
abkunft;pochodzenie
ablagern;nanosiæ
ablagerung;osad,odk³ad,z³óg
ablaß;odp³yw,odpust
ablass;odp³yw,odpust
ablassen;spuszczaæ,wypuszczaæ,zaniechaæ
ablasshahn;kurek spustowy
ablaufend;uruchomiony
ableben;zgon,œmieræ
ablegen;zdejmowaæ (kurtkê),zdawaæ (egzamin),sk³adaæ (przysiêgê),odk³adaæ (akta),wyzbywaæ siê,odbijaæ od brzegu
ablehnen;odmówiæ,odrzuciæ
ablehnung;odmowa
ableisten;odbywaæ
ableitbar;pochodny
ableiten;odprowadzaæ,wywodziæ
ableitung;odprowadzenie,wyraz pochodny,pochodna
ablesefehler;b³¹d odczytu
ablesen;odczytywaæ (przemówienie),odczytywaæ
ablichtung;fotokopia,odbitka kserograficzna
abliefern;odstawiaæ
ablieferungsfrist;termin dostarczenia
ablösen;oddzielaæ,luzowaæ,sp³acaæ
abmagern;chudn¹æ
abmarsch;odmarsz,wymarsz
abmontieren;demontowaæ
abnehmer;odbiorca
abnorm;anormalny
abnutzen;zu¿ywaæ
abnutzung;zu¿ycie
abraten;odradzaæ
abreagieren;odreagowywaæ
abreisen;odje¿d¿aæ
abreißen;zerwaæ,urwaæ,zburzyæ,rozebraæ
abrichten;tresowaæ
abriebfest;odporny na œcieranie
abruf;wywo³anie
abrufen;wywo³aæ,wywo³ywaæ
abrupt;stromy,szorstki
absägen;odpi³owywaæ
absatz;akapit
abschätzen;oceniaæ
abschätzig;pogardliwy,pogardliwie
abscheulich;ohydny,wstrêtny
abschicken;odsy³aæ
abschied;po¿egnanie,dymisja,zwolnienie
abschirmen;os³aniaæ
abschlachten;wymordowaæ
abschlägig;odmowny
abschleifen;zeszlifowywaæ
abschleppdienst;pomoc drogowa
abschleppen;odholowywaæ
abschließen;zamykaæ na klucz,koñczyæ siê,koñczyæ,ukoñczyæ,zawieraæ transakcjê
abschnallen;odpinaæ
abschrauben;odkrêcaæ
abschreckend;odstraszaj¹cy,odstraszaj¹co
abschrubben;wyszorowaæ
abschüssig;stromy,stromo
abschussrampe;wyrzutnia
abschußrampe;wyrzutnia
abseits;spalony,na uboczu,z boku,poza,obok,przy
absender;nadawca
absenderin;nadawczyni
absenz;absencja
absichern;zabezpieczaæ
absolut;to,co istnia³o samo przez siê,absolutny duch,bóg,absolut
absolution;rozgrzeszenie
absolvent;absolwent
absonderlich;osobliwy,osobliwie
absperrung;zamkniêcie,bariera
absprache;porozumienie
abspülen;sp³ukiwaæ,op³ukiwaæ
abstammung;pochodzenie
abstand;odleg³oœæ,odstêp
abstatten;sk³adaæ
abstecher;wycieczka,wypad
abstecken;wytyczaæ
abstehen;odstawaæ,sterczeæ
abstehend;odstaj¹cy
abstempeln;ostemplowywaæ
abstimmen;dostroiæ,dopasowaæ,dostosowaæ,uzgodniæ,g³osowaæ,oddaæ g³os
abstinenzler;abstynent
abstoppen;mierzyæ (czas) stoperem,mierzyæ stoperem
abstrahieren;abstrahowaæ
abstraktionsprinzip;zasada abstrakcyjnoœci
abstrich;rozmaz
abstritt;ubikacja
abstützen;podpieraæ
absuchen;przeszukiwaæ
absurd;absurd,niedorzecznoœæ,nonsens,coœ bez logicznego uzasadnienia
abt;opat
abtasten;obmacywaæ
abtei;opactwo
abteil;przedzia³
abteilen;oddzielaæ,przedzielaæ
abtippen;przepisywaæ na maszynie
abträglich;szkodliwy
abtransportieren;odtransportowywaæ,wywoziæ
abtreibung;aborcja,zabieg aborcyjny
abtreibungsgesetz;ustawa antyaborcyjna
abtreibungsmittel;œrodek wczesnoporonny
abtreibungsverbot;zakaz dokonywania aborcji
abtretung;odst¹pienie,cesja
abtupfen;osuszaæ
abuja;abud¿a
abverlagen;wymagaæ
abwägen;rozwa¿aæ
abwählen;odwo³aæ przez g³osowanie
abwandeln;zmieniæ,zmieniaæ
abwandern;odp³ywaæ (do),przechodziæ
abwanderung;odp³yw
abwandlung;zmiana
abwärme;ciep³o odlotowe
abwarten;czekaæ (na),wyczekiwaæ
abwärts;na,w dó³,do
abwaschbar;zmywalny
abwaschbecken;zlewozmywak
abwasser;œcieki
abwechslung;urozmaicenie
abwechslungsreich;urozmaicony
achselhöhle;pacha
acht;osiem,8
achte;ósmy
achtung;uwaga,bacznoœæ
achtzehn;osiemnaœcie
achtzehnte;osiemnasty
achtzig;osiemdziesi¹t
ackerbau;uprawa roli,rolnictwo
ackerbohne;bób
actinium;aktyn
adam;adam
addieren;dodawaæ
addition;dodawanie
adel;szlachta
adelheid;adelajda (imiê)
adjektiv;przymiotnik
adler;orze³
adressat;adresat
adresse;adres
adverb;przys³ówek
adverbialbestimmung;okolicznik
advokat;adwokat,obroñca
aerodynamik;aerodynamika
affe;ma³pa,osio³ (o cz³owieku)
afghanistan;afganistan
afrika;afryka
aggressiv;agresywny
äh;okrzyk obrzydzenia: fuj,bue
ahle;szyd³o
ahorn;klon
akazie;akacja
akkordeon;akordeon
akku;bateria (akumulator),akumulatorek,akumulator
akkusativ;biernik
akt;akt (czyn),akt (w teatrze)
aktiengesellschaft;spó³ka akcyjna
aktionspotential;potencja³ czynnoœciowy
aktiv;strona czynna
akzise;akcyza
alb;zmora
albaner;albañczyk
albanien;albania
albit;albit
alge;glon
algorithmus;algorytm
alkohol;alkohol (rodzaj zwi¹zku chemicznego),alkohol,spirytus,etanol
alkoholiker;alkoholik
alkoholikerin;alkoholiczka
alkoholismus;alkoholizm
all;wszechœwiat,wszyscy,wszystkie,wszystko,ka¿dy,ca³y,zupe³nie,ca³kowicie
alle;wszyscy,wszystkie
allein;sam,sam jeden
alleine;sam,samotny
allenstein;olsztyn
allergologe;alergolog
allerheiligen;wszystkich œwiêtych
allerseelen;dzieñ zaduszny,zaduszki
alles gutte;wszystko dobrze
alles klar;wszystko jasne
alles;wszystko
allianz;alians
alligator;aligator
alljährlich;coroczny
allquantor;kwantyfikator ogólny
alpen;alpy
alpenglühen;ró¿owa albo czerwonawa poœwiata na szczytach gór
alpha und omega;alfa i omega
alphabet;alfabet,abecad³o
als;jeœli
altar;o³tarz
alte jungfer;stara panna
alte;starzec,stary (pejor.),szef (pejor.)
alter;wiek (lata ¿ycia),staroœæ
altstadt;starówka,stare miasto
altsteinzeit;paleolit
aluminium;glin (pierwiastek chemiczny)
am seidenen faden hängen;wisieæ na w³osku
ameise;mrówka
americium;ameryk
amerika;ameryka
amerikaner;amerykanin
amerikanisch;amerykañski
ämilie;emilia
amöbe;ameba
ampfer;szczaw
amsel;kos
amtlich;urzêdowy,urzêdowo
an der;nad,przy
an kindes statt annehmen;zaadoptowaæ dziecko
anal;analny,pedantyczny (o kimœ),drobiazgowy (o kimœ)
analyse;analiza
ananas;ananas
anbelangen;tyczyæ siê,dotyczyæ
andere;nastêpny
änderung;zmiana
andichten;przypisywaæ,zarzucaæ,przyznawaæ
aneurysma;têtniak
anfang;pocz¹tek
anfangen;zaczynaæ,rozpoczynaæ,
anforderung;wymaganie
anführungszeichen;cudzys³ów
angenehm;mi³y,przyjemny
angesichts;wobec,w œwietle
angetrunken;podpity
angorakatze;kot angorski
angreifen;atakowaæ,uszkadzaæ,nadwyrê¿aæ,nadszarpywaæ,naruszaæ,napoczynaæ
angrenzen;graniczyæ,przylegaæ
angriff;atak,atak
angriffsbefehl;rozkaz do natarcia
angriffslustig;zaczepny,agresywny
angriffsspieler;napastnik
angst haben;baæ siê
angst;strach,lêk
angstgefühl;uczucie strachu
angsthase;tchórz
angstschweiß;zimny pot
angstvoll;pe³en strachu,pe³en lêku
anhaben;mieæ na sobie
anhalten;zatrzymaæ
anhand;na podstawie
anis;any¿,u¿ywane jako przyprawa suszone owoce any¿u,any¿ówka
ankommen;przybywaæ,przyjœæ
anlässlich;z okazji
anlauf;rozbieg,miejsce na rozbie,próba
anmelden;logowaæ siê (inform.)
annehmen;przyjmowaæ,przypuszczaæ,zak³adaæ,przyjmowaæ,akceptowaæ
anruf;telefon,po³¹czenie telefoniczne
anrufbeantworter;automatyczna sekretarka
anrufen;dzwoniæ
anstatt;zamiast,miast
anstelle;na miejsce,zamiast
antimon;antymon (pierwiastek chemiczny)
antiquarius;starzyŸnik,tandeciarz
antonym;antonim
antrag;podanie,wniosek
antrieb;bodziec,pobudka,napêd
antwort;odpowiedŸ
antworten;odpowiadaæ
anus;odbyt
anwalt des teufels;adwokat diab³a
anwalt gottes;adwokat boga
anwalt;adwokat
anweisung;polecenie,nakaz
anwenden;u¿ywaæ,stosowaæ
anwendung;u¿ycie,stosowanie,zabieg
anwesend;obecny
anzahl;iloœæ
apfel;jab³ko,jab³oñ
apfelbaum;jab³oñ
apfelsaft;sok jab³kowy
apfelsine;pomarañcza
apfelsinensaft;sok pomarañczowy
apotheke;apteka
apotheker;aptekarz
aprikose;morela
april;kwiecieñ,imiê ¿eñskie
äquator;równik
äquivalenz;równowa¿noœæ
arachisnuss;orzech ziemny (drzewko),orzech ziemny
arbeit;praca,miejsce pracy,praca klasowa
arbeiten;pracowaæ
arbeiter;robotnik
arbeitgeber;pracodawca
arbeitnehmer;zatrudniony,pracownik
arbeitsablauf;przebieg pracy
arbeitsamt;urz¹d pracy
arbeitsangebot;oferta pracy
arbeitsatmosphäre;atmosfera pracy
arbeitsauffassung;pojmowanie pracy
arbeitsaufwand;nak³ad pracy
arbeitsausfall;przestój
arbeitsbedingungen;warunki pracy
arbeitsbeschaffung;tworzenie nowych miejsc pracy
arbeitsbescheinigung;zaœwiadczenie o pracy
arbeitsbewertung;ocena pracy
arbeitsdienst;praca niep³atna (przymusowa)
arbeitsdisziplin;dyscyplina pracy
arbeitseifer;zapa³ do pracy
arbeitseinkommen;dochód z pracy
arbeitsfähig;zdolny do pracy
arbeitsfähigkeit;zdolnoœæ do pracy
arbeitslos;bezrobotny
arbeitslose;bezrobotny (bezrobotna
arbeitslosengeld;zasi³ek dla bezrobotnych
arbeitsnehmer;zatrudniony,pracownik
arbeitsunfall;wypadek przy pracy
arbeitsverhältnis;stosunek pracy (zatrudnienia
arbeitsverlust;utrata pracy
arbeitsvermittler;poœrednik pracy
arbeitsvermittlung;poœrednictwo pracy
arbeitsvertrag;umowa o pracê
arbeitsverweigerung;odmowa pracy,samowolne opuszczenie pracy
arbeitsweise;metoda pracy
arbeitswissenschaft;ergonomia
arbeitswut;sza³ pracy (amok)
arbeitszeit;czas pracy
arbeitszeugnis;œwiadectwo pracy
arbeitszufriedenheit;satysfakcja z wykonywanej pracy
arcadi;arkadiusz
architectur;architektura
architekt;architekt
architrav;archit. architektura,architektoniczny architraw
arena;arena
argentinien;argentyna
argon;argon
arm wie eine kirchenmaus;biedny jak mysz koœcielna
arm;ramiê,rêka,rêkaw,odnoga (rzeki),broñ,porêcz,zbroiæ siê
ärmel;rêkaw
ärmelausschnitt;pacha
arnswalde;choszczno
arsch;dupa
arschloch;dupek
arsen;arsen
artikel;artyku³,produkt,towar,artyku³ (prasowy),artyku³,paragraf,rodzajnik
artischocke;karczoch
arzt;lekarz,doktor
aschantinuss;orzech ziemny (drzewko),orzech ziemny
asche;popió³
aschenbecher;popielniczka
asien;azja
aspekt;aspekt
ast;ga³¹Ÿ
astat;astat
astrograph;astrograf
astronautik;astronautyka
astrophotometer;astrofotometr
atheismus;ateizm
atheist;ateista
athen;ateny
atlant;atlant
atlas;atlas
atmen;oddychaæ
atmosphäre;atmosfera,atmosfera,nastrój
atom;atom
atrium;atrium
attacke;atak,atak (choroby)
ätzend;¿r¹cy,gryz¹cy (zapach),okropny,ohydny,œwietny,odjazdowy
aubergine;bak³a¿an
auch;tak¿e,te¿,równie¿
auf dem tisch;na stole
auf eigene faust;na w³asn¹ rêkê
auf eine idee;wpaœæ na pomys³
auf einem pulverfass sitzen;siedzieæ na beczce prochu
auf etwas haben bock;mieæ na coœ ochotê
auf grund;
auf keine kuhhaut gehen;to siê w g³owie nie mieœci
auf keinerlei weise;w ¿aden sposób
auf leben und tod;na œmieræ i ¿ycie
auf;z,na,otwarty,na (o miejscu)
auffahr;wjazd,podjazd
auffallen;rzucaæ siê w oczy
aufgrund;z powodu
aufmachen;otwieraæ (drzwi),rozwi¹zaæ (wêze³)
aufmerksamkeit;uwaga
aufräumen;sprz¹taæ
aufregend;ekscytuj¹cy,emocjonuj¹cy
aufrichtig;szczery,szczerze
aufruf;wezwanie,odezwa,wywo³anie
aufrufen;wzywaæ,apelowaæ,wywo³aæ
aufstehen;wstaæ,wstawaæ
auftrag;zamówienie,zlecenie,polecenie,nakaz
aufwiederzehn;do widzenia
aufzeichnungen;notatki
aufzug;winda,podnoœnik,wyci¹g
augapfel;ga³ka oczna
auge;oko,oczko
augenbraue;brew
augenlid;powieka
august;wrzesieñ,august (imiê)
aus dem kaffeesatz lesen;wró¿yæ z fusów
aus der haut fahren;wyjœæ z siebie
aus einer mücke einen elefanten machen;robiæ z ig³y wid³y
aus jux;dla ¿artu
aus;.z (pochodz¹cy z),z (poruszaj¹cy siê z),z (wykonany z)
ausbedingen;zastrzegaæ
ausbleiben;nie przychodziæ,nie nadchodziæ,nie pojawiaæ siê,zostawaæ d³ugo poza domem
ausdrücken;wyra¿aæ (coœ),wyra¿aæ siê
ausfahrt;wyjazd,zjazd
ausflug;wycieczka,wylot
ausführlich;szczegó³owy,szczegó³owo
ausführlichkeit;szczegó³owoœæ,dok³adnoœæ
ausgerechnet;akurat,w³aœnie
ausland;zagranica
auslander;cudzoziemiec,obcokrajowiec
ausmelden;wylogowaæ (inform.),wymeldowaæ
ausnahmezustand;stan wyj¹tkowy
auspacken;rozpakowaæ
ausrüstung;ekwipunek,przybory,wyposa¿enie
aussage;wypowiedŸ,zeznanie,zdanie (log.)
aussageform;forma zdaniowa
ausschalten;wy³¹czaæ,wyeliminowaæ
ausschreibung;przetarg,konkurs
aussehen;wygl¹daæ
außer dass;tyle ¿e,poza tym ¿e
ausser;oprócz,poza,chyba ¿e
außer;oprócz,poza,chyba ¿e
außergewöhnlich;nadzwyczajny,niezwyk³y,nadzwyczaj
außerhalb;poza (okreœlaj¹cy miejsce),poza (okreœlaj¹cy czas),poza,za
äußerst;najwiêkszy,najsilniejszy,najwy¿szy,bardzo,wyj¹tkowo,nadzwyczaj,w najbardziej skrajnym punkcie,w najwiêkszym oddaleniu
aussicht;widok,perspektywa
aussprache;wymowa
aussprechen;wymawiaæ
ausspruch;sentencja,z³ota myœl
aussteuer;posag,wiano
auster;ostryga
australien;australia
austrocknen;wysychaæ,suszyæ
austüfteln;wykombinowaæ
auswählen;wybieraæ,typowaæ
auswanderung;emigracja
ausweg;wyjœcie
ausweis;dowód to¿samoœci,dowód osobisty
auswirkung;skutek,nastêpstwo
auszeichnung;wyró¿nienie,odznaczenie
authentisch;autentyczny
auto;auto,samochód
autobahn;autostrada
autobahnauffahrt;wjazd na autostradê
autobahnausfahrt;zjazd z autostrady
autobahngebühr;opata za przejazd autostrad¹
autobombe;samochód-pu³apka
autobus;autobus
autodidakt;samouk
automat;automat
autonomie;autonomia
autopsie;sekcja zw³ok
autor;autor (twórca),autor,pisarz (zawód)
autoreifen;opona
autorität;autorytet
avocado;awokado
axiom;aksjomat
axon;akson
axonhügel;wzgórek aksonowy
axt;siekiera,topór
baby;niemowlê
bach;potok,strumyk,strumieñ
backen;piec,wypiekaæ,piec siê
backenzahn;z¹b trzonowy
backerei;piekarnia
bäckerei;piekarnia
bad;³azienka,k¹piel
badeanzug;kostium k¹pielowy
badehose;k¹pielówki
baden;k¹paæ siê,k¹paæ
baden-württemberg;badenia-wirtembergia
badetuch;rêcznik k¹pielowy
bagatellisieren;bagatelizowaæ
bahn;kolej,poci¹g,tor,droga
bahnhof;dworzec kolejowy
bahnwärter;dró¿nik
bai;zatoka
bakteriell;wywo³any przez bakterie
bakteriologisch;bakteriologiczny
balance;równowaga
balancieren;balansowaæ
bald;³ysy,bezdrzewny (krajobraz),bezlistny
balkanhalbinsel;pó³wysep ba³kañski
balken;belka
balkon;balkon
ball;pi³ka,bal
ballon;balon
ballungsgebiet;aglomeracja
bambus;bambus
banane;banan
bancomat;bankomat
band;tom,zespó³ muzyczny,orkiestra,taœma,wstêga,pasmo,obrêcz,wêze³,wiêzy
bandagieren;banda¿owaæ
bandmaß;ruletka
bandwurm;tasiemiec
bank;bank,³awka,stó³,³awica,mielizna,rz¹d
bankautomat;bankomat
banknote;banknot
bankomat;bankomat
bankomatkarte;karta p³atnicza,karta bankomatowa
bar;bar
bär;niedŸwiedŸ,miœ (zabawka)
bärin;niedŸwiedzica
barium;bar (pierwiastek chemiczny)
baron;baron
basel;bazylea
basta;doœæ
bastei;bastion
bastion;bastion
batterie;bateria
bau;budynek,budowla,budowlany
bauaufsicht;nadzór budowlany
bauch;brzuch
bauchhärling;brzuchorzêsek
bauchig;brzuchaty
bauen;budowaæ
bauer;ch³op,rolnik,gospodarz,wieœniak,pionek (szachy),walet,klatka dla ptaków
bauern;ch³opski,wiejski
baufällig;rozpadaj¹cy siê,gro¿¹cy zawaleniem
baum;drzewo,drzewo (inform.)
bautzen;budziszyn
bauwerk;budowla
bauwirtschaft;gospodarka budowlana
bauzeit;czas wykonania budowli
bayer;bawarczyk
bayerin;bawarka
bayern;bawaria
beabsichtigen;zamierzaæ
beachtenswert;godny uwagi
beachtlich;znaczny,niema³y
beachtung;przestrzeganie
beängstigend;zastraszaj¹cy
beantworten;odpowiadaæ na coœ
beauftragte;pe³nomocnik
beauty;piêkno
beauty-quark;kwark spodni
bebauungsplan;plan zabudowy
beben;trzêsienie,trz¹œæ siê
becher;kubek,kubeczek (np. jogurtu),kefiru,kieliszek
bedarf;zapotrzebowanie,popyt
bedarfsartikel;artyku³ pierwszej potrzeby
bedarfshaltestelle;przystanek na ¿¹danie
bedauerlich;przykry
bedauern;ubolewanie,¿al
bedauernswert;godny po¿a³owania
bedienung;obs³uga
bedürfnis;potrzeba
bedürftig;biedny,ubogi
beeidigt;przysiêg³y,zaprzysiê¿ony
beere;jagoda
beet;grz¹dka
befehl;rozkaz,nakaz
befehlen;rozkazywaæ
befehlsraum;dyspozytornia
befeuchten;zwil¿aæ
befinden;znajdowaæ siê,byæ,rozsztrzygaæ,os¹dzaæ
befördern;transportowaæ,przewoziæ
begegnung;spotkanie,spotkanie,mecz
begehen;pope³niæ,obchodziæ
begierde;¿¹dza,po¿¹danie
beginen;zaczynaæ,zacz¹æ
beginn;pocz¹tek,start,rozpoczêcie
beginnen;zaczynaæ siê,zaczynaæ
begriff;wyobra¿enie,pojêcie
begrüßen;witaæ,pozdrawiaæ
begrüßung;powitanie
behälter;zbiornik,pojemnik
beharren;wytrwaæ,obstawaæ,upieraæ siê
behinderte;niepe³nosprawny,inwalida (mê¿czyzna),niepe³nosprawny,inwalida (kobieta)
behindertensport;sport niepe³nosprawnych
behördlich;urzêdowy
bei;przy,beczeæ (o owcy)
beichte;spowiedŸ
beichtgeheimnis;tajemnica spowiedzi
beide;obaj,obie,oboje
beiderseits;po obu stronach
beige;be¿owy
beihilfe;zasi³ek
bein;noga,koœæ
beispiel;przyk³ad,wzór
beißen;gryŸæ,gryŸæ,szczypaæ,piec
beitrag;wk³ad,sk³adka
bekannt;znany
bekommen;dostawaæ,otrzymywaæ
belgien;belgia
belgisch;belgijski
belgrad;stolica serbii,belgrad
bellen;szczekaæ,dzwoniæ,zadzwoniæ
bemerken;zauwa¿aæ,podkreœlaæ,zaznaczaæ
benediktinerarbeit;benedyktyñska praca
benehmen;zachowywaæ siê
benin;benin
benutzer;u¿ytkownik
benzin;benzyna
beobachter;obserwator
bereits;ju¿
bereitstellen;przygotowywaæ,podstawiaæ,oddawaæ do dyspozycji,gromadziæ,mobilizowaæ
berg;góra,wzgórze
berge;wzgórze,góra
bergen;ratowaæ,odtransportowaæ z miejsca wypadku,katastrofy,chowaæ,kryæ
berkelium;berkel (pierwiastek chemiczny)
berlin;berlin
berliner;berliñczyk,p¹czek,berliñski
berlinerin;berlinka,berlinianka
bern;berno
bernstein;bursztyn
bersten;pêkaæ
berühmt;s³awny,renomowany
berufstätigkeit;praca zawodowa
beryllium;beryl (pierwiastek chemiczny)
bescheiden;skromny,pokorny,prosty,skromny,niewyrafinowany,surowy,skromny,ubogi
bescheren;podarowaæ,obdarowywaæ
beschränkt;ograniczony
beschreiben;opisywaæ
beschreibung;opis,opisanie,zakreœlenie,rysopis
beschuldigte;oskar¿ony
beschwerdeausschuss;komisja skarg i za¿aleñ
beschweren;obci¹¿yæ,przygnieœæ,skar¿yæ siê,narzekaæ
besen;miot³a,jêdza,zo³za,z³oœnica
besetzen;okupowaæ,zajmowaæ (miejsce),zajmowaæ (stanowisko),obsadzaæ
besitz;maj¹tek,prawo posiadanie
besitzen;posiadaæ
besonderheit;szczególnoœæ,specyfika,niezwyk³oœæ,osobliwoœæ
besonders;osobno,poza wszystkimi,szczególnie,szczególnie,naprawdê,wyj¹tkowo
besser;lepszy
beste;najlepszy
besteck;sztuciec,narzêdzie (np. chirurgiczne),przyrz¹d
bestehen;sk³adaæ siê,istnieæ,trwaæ,polegaæ,obstawaæ,zdawaæ (egzamin),przechodziæ
bestellen;zamawiaæ,ustanawiaæ,powo³ywaæ
besteuerung;opodatkowanie
bestimmt;okreœlony,uzgodniony,zdecydowany,pewien,na pewno,zdecydowanie
besuch;odwiedziny,wizyta,goœæ (odwiedzaj¹cy)
besuchen;odwiedzaæ,zwiedzaæ,uczêszczaæ
besucher;goœæ,odwiedzaj¹cy
besucherin;goœæ,odwiedzaj¹ca
besucherzahl;liczba odwiedzaj¹cych,liczba zwiedzaj¹cych
